line,verse,part,text
137,35,2,เอาอาวาสมาไว้ให้อาศรัยสงฆ์
138,35,3,ช่วยฉะลอวรลักษณ์ที่รักทรง
139,35,4,ให้มาลงเรือร่วมนวมที่นอน
140,36,1,ถนอมแนบแอบอุ้มประทุมน้อย
141,36,2,แขนจะคอยเคียงวางไว้ต่างหมอน
142,36,3,เมื่อปลื้มใจไสยาอนาทร
143,36,4,จะกล่าวกลอนกล่อมขนิษฐให้นิทรา
144,37,1,เห็นคลองขวางบางกรวยระทวยจิตร
145,37,2,ไม่ลืมคิดนิ่มน้อยละห้อยหา
146,37,3,เคยร่วมสุขทุกข์ร้อนแต่ก่อนมา
147,37,4,โอ้สิ้นอายุเจ้าได้เก้าปี
148,38,1,แต่ก่อนกรรมนำสัตว์ให้พลัดพราก
149,38,2,จึงจำจากนิ่มน้องให้หมองศรี
150,38,3,เคยไปมาหาน้องในคลองนี้
151,38,4,เห็นแต่ที่ท้องคลองนองน้ำตา
152,39,1,สงสารบุตรสุดเศร้าทุกเช้าค่ำ
153,39,2,ด้วยเปนกำพร้าแม่ชะแง้หา
154,39,3,เขม้นมองคลองบ้านดูมารดา
155,39,4,เช็ดน้ำตาโทรมทราบลงกราบกราน
156,40,1,ยิ่งตรอมตรึกดึกดื่นสอื้นอั้น
157,40,2,จนไก่ขันเจื้อยเจ๊กวิเวกหวาน
158,40,3,เหมือนนิ่มน้องร้องเรียกสำเนียกนาน
159,40,4,เจียนจะขานหลงแลฉแง้คอย
160,41,1,บางศรีทองคลองบ้านน้ำตาลสด
161,41,2,อร่อยรสซาบซ่านหวานคอหอย
162,41,3,เหมือนปากพี่ศรีทองของน้องน้อย
163,41,4,เปนคู่บอกดอกสร้อยสักระวา
164,42,1,ทุกวันนี้พี่ก็เถ้าเราก็หง่อม
165,42,2,เธอเปนจอมเราเปนจนต้องบ่นหา
166,42,3,โอ้จอมพี่ศรีทองของน้องยา
167,42,4,เมื่อไรจะพาพิมน้อยมากลอยใจ
168,43,1,บางอ้อยช้างโอ้ช้างที่ร้างโขลง
169,43,2,มาอยู่โรงรักป่าน้ำตาไหล
170,43,3,พี่คลาศแคล้วแก้วตาให้อาไลย
171,43,4,เหมือนอกไอยราร้างฝูงนางพัง
172,44,1,พอจวนรุ่งฝูงนกวิหคร้อง
173,44,2,ประสานซ้องเซงแซ่ดังแตรสังข์
174,44,3,กระเหว่าหวานขานเสียงสำเนียงดัง
175,44,4,เหมือนชาววังหวีดเสียงสำเนียงนวล
176,45,1,อโณทัยไตรตรัสจำรัสแสง
177,45,2,กระจ่างแจ้งแจ่มฟ้าพฤกษาสวน
178,45,3,หอมดอกไม้หลายพรรณให้รัญจวน
179,45,4,เหมือนกลิ่นนวลน้ำกุหลาบซึ่งอาบทรวง
180,46,1,โอ้บุบผาสารพัดที่กลัดกลีบ
181,46,2,ครั้นรุ่งรีบบานงามไม่ห้ามหวง
182,46,3,ให้ชื่นชุ่มภุมรินสิ้นทั้งปวง
183,46,4,ได้ทราบทรวงเสาวรสไม่อดออม
184,47,1,แต่ดอกฟ้าสาหรีเจ้าพี่เอ๋ย
185,47,2,มิหล่นเลยละให้หมู่แมงภู่หอม
186,47,3,จะกลัดกลิ่นสิ้นรสให้มดตอม
187,47,4,จนหายหอมแห้งกรอกเหมือนดอกกลอย
188,48,1,ถึงวัดสักเหมือนหนึ่งรักที่ศักดิ์สูง
189,48,2,ยิ่งกว่าฝูงเขาเหิรเห็นเกินสอย
190,48,3,แม้นดอกฟ้าคลาเคลื่อนหล่นเลื่อนลอย
191,48,4,จะได้คอยเคียงรับประคับประคอง
192,49,1,บางขนุนขุนกองมีคลองกว้าง
193,49,2,ว่าเดิมบางชื่อสนนเขาขนของ
194,49,3,เปนเรื่องหลังครั้งคราวท้าวอู่ทอง
195,49,4,แต่คนร้องเรียกเฟือนไม่เหมือนเดิม
196,50,1,สุดาใดได้เปนเพื่อนอย่าเหมือนพี่
197,50,2,เหมือนมณีนพรัตนฉัตรเฉลิม
198,50,3,อันน้ำในใจรักช่วยตักเติม
199,50,4,ให้พูลเพิ่มพิศวาสอย่าคลาศคลาย
200,51,1,บางนายไกรไกรทองอยู่คลองนี้
201,51,2,ชื่อจึงมีมาทุกวันเหมือนหมั่นหมาย
202,51,3,ไปเข่นฆ่าชาละวันให้พลันตาย
203,51,4,เปนเลิศชายเชี่ยวชาญผ่านวิชา
204,52,1,ได้ครอบครองสองสาวชาวพิจิตร
205,52,2,สมสนิทนางจรเข้เสน่หา
206,52,3,เหมือนตัวพี่นี้ได้ครองแต่น้องยา
207,52,4,จะเกื้อหน้าพางามขึ้นครามครัน
208,53,1,ถึงคลองขวางบางระนกโอ้อกพี่
209,53,2,แม้นปีกมีเหมือนหนึ่งนกจะผกผัน
210,53,3,ไปอุ้มแก้วแววตาพาจรัล
211,53,4,มาด้วยกันนั้นทั้งคู่ที่อยู่ริม
212,54,1,ลงร่วมเรือเมื่อว่าตื่นสอื้นอ้อน
213,54,2,จะคอยช้อนโฉมอุ้มไม่หยุมหยิม
214,54,3,ไม่แย้มสรวลชวนเสบยเฝ้าเชยชิม
215,54,4,กว่าจะอิ่มอกแอบแนบนิทรา
216,55,1,บางคูเวียงเสียงเงียบเชียบสงัด
217,55,2,เปนจังหวัดแถวสวนล้วนพฤกษา
218,55,3,ดูรูปนางบางคูเวียงเหมือนเหนี่ยงนา
219,55,4,ไม่เหมือนหน้านางนั่งในวังเวียง
220,56,1,เห็นโรงหีบหีบอ้อยเขาคอยป้อน
221,56,2,มีคนต้อนควายตวาดไม่ขาดเสียง
222,56,3,เห็นน้ำอ้อยย้อยรางที่วางเรียง
223,56,4,โอ้พิศเพียงชลนาที่จาบัลย์
224,57,1,อันลำอ้อยย่อยยับเหมือนทับอก
225,57,2,น้ำอ้อยตกเหมือนน้ำตาตวงกว่าขัน
226,57,3,เขาโหมไฟในโรงโขมงควัน
227,57,4,ให้อัดอั้นอกกลุ้มรุมระกำ
228,58,1,อันน้ำในใจคนเหมือนต้นอ้อย
229,58,2,ข้างปลายกร่อยชืดชิมไม่อิ่มหนำ
230,58,3,ต้องหันหีบหนีบแตกให้แหลกลำ
231,58,4,นั้นแลน้ำจึงจะหวานเพราะจานเจือ
232,59,1,ถึงบางม่วงง่วงจิตรคิดถึงม่วง
233,59,2,แต่จากทรวงเสียใจอาลัยเหลือ
234,59,3,มะม่วงงอมหอมหวนเหมือนนวลเนื้อ
235,59,4,มิรู้เบื่อบางม่วงเหมือนดวงใจ
236,60,1,เห็นต้นรักหักโค่นต้นสนัด
237,60,2,เปนรอยตัดรักขาดให้หวาดไหว
238,60,3,เหมือนตัดรักหักสวาทขาดอาลัย
239,60,4,ด้วยเห็นใจเจ้าเสียแล้วนะแก้วตา
240,61,1,ถึงบางใหญ่ให้จอดทอดประทับ
241,61,2,เข้าเคียงกับกิ่งรักไม่หักหา
242,61,3,เมื่อกินเข้าเขาก็หักใบรักมา
243,61,4,จิ้มปลาร้าลองดูด้วยอยู่ริม
244,62,1,อร่อยนักรักอ่อนปลาช่อนย่าง
245,62,2,เปรียบเหมือนอย่างเนื้อนุ่มที่หยุมหยิม
246,62,3,อยากรู้จักรักใคร่พึ่งได้ชิม
247,62,4,ชอบแต่จิ้มปลาร้าจึงพารวย
248,63,1,โอ้รักต้นคนรักเขาหักให้
249,63,2,ไม่ตัดได้เด็จรักไม่พักฉวย
250,63,3,แต่รักน้องต้องประสงค์ถึงงงงวย
251,63,4,ใครไม่ช่วยชักนำสู้กล้ำกลืน
252,64,1,เสพย์อาหารหวานคาวเมื่อคราวยาก
253,64,2,ล้วนของฝากเฟื่องฟูค่อยชูชื่น
254,64,3,แต่มะแป้นแกนในจะไปคืน
255,64,4,ของอื่นอื่นอักโขล้วนโอชา
256,65,1,แต่สิ่งของน้องรักฟักจันอับ
257,65,2,แช่อิ่มพลับผลชิดเปนปฤษณา
258,65,3,พี่จะจากฝากปิดสนิทมา
259,65,4,เหมือนแก้วตาตามติดมาชิดเชื้อ
260,66,1,แผ่นขนุนวุ้นแท่งของแห้งสิ้น
261,66,2,แต่ละชิ้นชูใจอาลัยเหลือ
262,66,3,ได้ชื่นชิมอิ่มหนำทั้งลำเรือ
263,66,4,เพราะน้องเนื้อนพคุณกรุณา
264,67,1,แล้วเข้าทางบางใหญ่ครรไลยล่อง
265,67,2,ไปตามคลองเคลื่อนคล้อยละห้อยหา
266,67,3,เห็นสิ่งไรในจังหวัดรัถยา
267,67,4,สอื้นอาลัยถึงคนึงนวล
268,68,1,แม้นแก้วตามาเห็นเหมือนเช่นนี้
269,68,2,จะยินดีด้วยดอกไม้ที่ในสวน
270,68,3,ไม่แจ้งนามถามพี่จะชี้ชวน
271,68,4,ชมลำดวนดอกซ่มต้นนมนาง
272,69,1,ที่ริมน้ำง้ำเงื้อมจะเอื้อมหัก
273,69,2,เอายอดรักให้น้องเมื่อหมองหมาง
274,69,3,ไม่เหมือนหมายสายสวาทจะขาดกลาง
275,69,4,โอ้อ้างว้างวิญญาในสาคร
276,70,1,บางกระบือเห็นกระบือเหมือนชื่อย่าน
277,70,2,แสนสงสารสัตว์นาฝูงกาษร
278,70,3,ลงปลักเปือกเกลือกเลนระเนนนอน
279,70,4,เหมือนจะร้อนรนร่ำทุกค่ำคืน
280,71,1,โอ้อกพี่นี้ก็ร้อนด้วยความรัก
281,71,2,ถึงฝนสักแสนห่าไม่ฝ่าฝืน
282,71,3,แม้นเหมือนรสพจมาลย์เมื่อวานซืน
283,71,4,จะชูชื่นใจพี่ด้วยปรีดิ์เปรม
284,72,1,โอ้เปรียบชายคล้ายนกวิหคน้อย
285,72,2,จะเลื่อนลอยลงสรงกับหงส์เหม
286,72,3,ได้ใกล้เคียงเมียงริมจะอิ่มเอม
287,72,4,แสนเกษมสุดสวาทไม่คลาศคลาย
288,73,1,ถึงคลองย่านบ้านบางสุนัขบ้า
289,73,2,เหมือนขี้ข้านอกเจ้าเฉาฉงาย
290,73,3,เปนบ้าจิตรคิดแค้นเพราะแสนร้าย
291,73,4,ใครใกล้กลายเกลียดกลัวทุกตัวคน
292,74,1,ถึงลำคลองช่องกว้างชื่อบางโสน
293,74,2,สอื้นโอ้อ้างว้างมากลางหน
294,74,3,โสนออกดอกระย้าริมสาชล
295,74,4,บ้างร่วงหล่นแลงามเมื่อยามโซ
296,75,1,แต่ต้นกระเบาเขาไม่ใช้เช่นใจหญิง
297,75,2,เบาจริงจริงเจียวใจเหมือนไม้โสน
298,75,3,เห็นตะโกโอ้แสนแค้นตะโก
299,75,4,ถึงแสนโซสุดคิดไม่ติดตาม
300,76,1,พอสุดสวนล้วนแต่เหล่าเถาสวาท
301,76,2,ขึ้นพันพาดเพ่งพิศให้คิดขาม
302,76,3,ชื่อสวาทพาดเพราะเสนาะนาม
303,76,4,แต่ว่าหนามรกระเกะระกะกาง
304,77,1,สวาทต้นคนต้องแล้วร้องอุ่ย
305,77,2,ด้วยรุกรุยรกเรื้อรังเสือสาง
306,77,3,แต่ชั้นลูกถูกต้องเปนกองกลาง
307,77,4,เปรียบเหมือนอย่างลูกสวาทศรียาตรา
308,78,1,ริมลำคลองท้องทุ่งดูวุ้งเวิ้ง
309,78,2,ด้วยน้ำเจิ่งจอกผักขึ้นหนักหนา
310,78,3,ดอกบัวเผื่อนเกลื่อนกลาดดาษดา
311,78,4,สันตวาสายติ่งต้นลินจง
312,79,1,ถึงบ้านใหม่ธงทองริมคลองลัด
313,79,2,ที่หน้าวัดเห็นเขาปักเสาหงส์
314,79,3,ขอความรักหนักแน่นให้แสนตรง
315,79,4,เหมือนคันธงแท้เที่ยงอย่าเอียงเอน
316,80,1,ได้ชมวัดศรัทธาสาธุสะ
317,80,2,ไหว้ทั้งพระปฏิมามหาเถร
318,80,3,นาวาล่องคล่องแคล่วเขาแจวเจน
319,80,4,เฟือยระเนนน้ำพร่างกระจ่างกระจาย
320,81,1,ดูชาวบ้านพรานปลาทำลามก
321,81,2,เที่ยวดักนกยิงเนื้อมาเถือขาย
322,81,3,เปนทุ่งนาป่าไม้ร่ำไรราย
323,81,4,พวกหญิงชายชาวเถื่อนอยู่เรือนโรง
324,82,1,ที่ริมคลองสองฝั่งเขาตั้งบ้าน
325,82,2,น่าสำราญเรียงรันควันโขมง
326,82,3,ถึงฉวากปากช่องชื่อคลองโยง
327,82,4,เปนทุ่งโล่งลิบลิ่วหวิวหวิวใจ
328,83,1,มีบ้านช่องสองฝั่งชื่อบางเชือก
329,83,2,ล้วนตมเปือกเปอะปะสวะไสว
330,83,3,ที่เรือน้อยลอยล่องค่อยคล่องไป
331,83,4,ที่เรือใหญ่โป้งโล้งต้องโยงควาย
332,84,1,เวทนากาษรสู้ถอนถีบ
333,84,2,เขาตีรีบเร่งไปน่าใจหาย
334,84,3,ถึงแสนชาติจะมาเกิดกำเนิดกาย
335,84,4,อย่าเปนควายรับจ้างที่ทางโยง
336,85,1,ตามแถวทางกลางย่านนั้นบ้านว่าง
337,85,2,เขาปลูกสร้างศาลาเปิดฝาโถง
338,85,3,เจ๊กจีนใหม่ไทยมั่งไปตั้งโรง
339,85,4,ขุดร่องน้ำลำกระโดงเขาโยงดิน
340,86,1,ดูทุ่งกว้างวางเวกหมอกเมฆมืด
341,86,2,บรรพตพืดภูผาพนาสิน
342,86,3,ฝูงวิหคนกกาเที่ยวหากิน
343,86,4,ตามที่ถิ่นเขตรแคว้นทุกแดนดาว
344,87,1,บ้างเดิรดินบินว่อนขึ้นร่อนร้อง
345,87,2,ริมขอบหนองนกกระกรุมคุ่มคุ่มขาว
346,87,3,ค้อนหอยย่องมองปลาแข้งขายาว
347,87,4,อีโก้งก้าวโก้งเก้งเขย่งตัว
348,88,1,กระทุงทองล่องเลื่อนดูเกลื่อนกลาด
349,88,2,ไม่คลาคลาศคลอเคลียเหมือนเมียผัว
350,88,3,มีต่างต่างยางกรอกนกดอกบัว
351,88,4,เที่ยวเดินยั้วเยี้ยย่องที่ท้องนา
352,89,1,นกกระจาบขาบคุ่มอีลุ้มร่อน
353,89,2,ดูว้าว่อนเวียนเร่ในเวหา
354,89,3,เห็นยางเจ่าเซาจับคอยสับปลา
355,89,4,นกกระสาซ่องซ่องค่อยย่องเดิร
356,90,1,โอ้ดูนกอกใจให้ไหวหวาด
357,90,2,ยามนิราศเริศร้างมาห่างเหิน
358,90,3,เห็นสิ่งไรใจพี่ไม่มีเพลิน
359,90,4,ส่วนเรือเดิรด่วนไปใจจะคืน
360,91,1,จะออกช่องคลองโยงเห็นโรงบ้าน
361,91,2,เขาเรียกลานตากฟ้าค่อยพาชื่น
362,91,3,โอ้แผ่นฟ้ามาตากถึงภาคพื้น
363,91,4,น่าจะยืนหยิบเดือนได้เหมือนใจ
364,92,1,เจ้าหนูน้อยพลอยว่าฟ้าตกน้ำ
365,92,2,ใครช่างด้ำยกฟ้าขึ้นมาได้
366,92,3,แม้นแดนดินสิ้นฟ้าสุราไลย
367,92,4,จะเปล่าใจจริงจริงทั้งหญิงชาย
368,93,1,โอ้ฟังบุตรสุดสวาทฉลาดเปรียบ
369,93,2,ต้องทำเนียบนึกไปก็ใจหาย
370,93,3,ถึงแขวงแควแลลิ่วชื่องิ้วราย
371,93,4,สอื้นอายออกความเหมือนนามงิ้ว
372,94,1,งามเสงี่ยมเอี่ยมอิ่มเมื่อพริ้มพักตร์
373,94,2,ดูน่ารักเรือนผมก็สมผิว
374,94,3,แสนสุภาพกราบก้มประนมนิ้ว
375,94,4,เหมือนโฉมงิ้วงามราวกับชาววัง
376,95,1,ถึงย่านน้ำสำประทวนรำจวนจิตร
377,95,2,เหมือนใจคิดทวนทบตลบหลัง
378,95,3,ไปลอบโลมโฉมเฉกที่เมฆบัง
379,95,4,เปรียบเหมือนนั่งแอบอุ้มทุกทุ่มโมง
380,96,1,ถึงปากน้ำลำคลองที่ท้องทุ่ง
381,96,2,เจ๊กเขาหุงเหล้ากลั่นควันโขมง
382,96,3,มีรางรองสองชั้นทำคันโพง
383,96,4,ผูกเชือกโยงยืนชักคอยตักเติม
