line,verse,part,text
196,50,1,แล้วร่ำภาวนาในพระไตรลักษณ์
197,50,2,ประหารรักหนักหน่วงตัดห่วงหาย
198,50,3,หอมกลิ่นธูปงูบระงับหลับสบาย
199,50,4,ฝันว่าว่ายสายชะเลอยู่เอกา
200,51,1,สิ้นกำลังยังมีนารีรุ่น
201,51,2,รูปเหมือนหุ่นเหาะเร่ร่อนเวหา
202,51,3,ช่วยจูงไปไว้ที่วัดได้ทัศนา
203,51,4,พระศิลาขาวล้ำดั่งสำลี
204,52,1,ทั้งพระทองสององค์ล้วนทรงเครื่อง
205,52,2,แลเลื่อมเหลืองเรืองจำรัสรัศมี
206,52,3,พอเสียงแซ่แลหาเห็นนารี
207,52,4,ล้วนสอดสีสาวน้อยนับร้อยพัน
208,53,1,ล้วนใส่ช้องป้องพักตร์ดูลักขณะ
209,53,2,เหมือนนางสะสวยสมล้วนคมสัน
210,53,3,ที่เอกองค์ทรงศรีฉวีวรรณ
211,53,4,ดั่งดวงจันทร์แจ่มฟ้าไม่ราคี
212,54,1,ทั้งคมขำล้ำนางสำอางสะอาด
213,54,2,โอษฐ์เหมือนชาดจิ้มเจิมเฉลิมศรี
214,54,3,ใส่เครื่องทรงมงกุฎดั่งบุตรี
215,54,4,แก้วมณีเนาวรัตน์จำรัสเรือง
216,55,1,รูปจริตพิศไหนวิไลเลิศ
217,55,2,เหมือนหุ่นเชิดโฉมแช่มแฉล้มเหลือง
218,55,3,พอแลสบหลบชะม้ายชายชำเลือง
219,55,4,ดูปลดเปลื้องเปล่งปลั่งกำลังโลม
220,56,1,ลำพระกรอ่อนชดประณตน้อม
221,56,2,แลละม่อมเหมือนหนึ่งเขียนวิเชียรโฉม
222,56,3,หรือชาวสวรรค์ชั้นฟ้านภาโพยม
223,56,4,มาประโลมโลกาให้อาวรณ์
224,57,1,แปลกมนุษย์ผุดผ่องละอองพักตร์
225,57,2,วิไลลักษณ์ล้ำเลิศประเสริฐสมร
226,57,3,ครั้นปราศรัยไถ่ถามนามกร
227,57,4,ก็เคืองค้อนขามเขินสะเทิ้นที
228,58,1,ขืนถามอีกหลีกเลี่ยงหลบเมียงม่าย
